name,niche,address,state,phone_number,website,email,result_url
Legends Travel GmbH,agenzie di viaggio,"Klosbachstrasse 45, 8032 Zürich, Switzerland",NOT AVAILABLE,044 250 44 77,http://www.legendstravel.ch/,info@legendstravel.ch,https://maps.google.com/?cid=1990250744098636060
Australasia & Africa Reisen AG,agenzie di viaggio,"Schaffhauserstrasse 89, 8057 Zürich, Switzerland",NOT AVAILABLE,044 450 73 75,http://www.australasia.ch/,NOT AVAILABLE,https://maps.google.com/?cid=9067365138810990273
Move by Australasia AG,agenzie di viaggio,"Schaffhauserstrasse 89, 8057 Zürich, Switzerland",NOT AVAILABLE,044 372 22 70,http://www.movereisen.ch/,travel@movereisen.ch,https://maps.google.com/?cid=5993485771728031318
Balkan Holidays (Switzerland) AG,agenzie di viaggio,"Beckenhofstrasse 72, 8006 Zürich, Switzerland",NOT AVAILABLE,044 362 80 70,https://balkan-holidays.ch/,NOT AVAILABLE,https://maps.google.com/?cid=1994598263185694858
Gruppo svizzero viaggi sagl,agenzie di viaggio,"Via Mulino 3, 6855 Stabio, Switzerland",NOT AVAILABLE,078 733 42 55,https://www.grupposvizzeroviaggi.ch/,info@grupposvizzeroviaggi.ch,https://maps.google.com/?cid=2933280759703030245
Blue Moon Travel,agenzie di viaggio,"Josefstrasse 110, 8005 Zürich, Switzerland",NOT AVAILABLE,044 364 00 00,http://www.travelboerse.ch/,NOT AVAILABLE,https://maps.google.com/?cid=13898503082611344086
Holiday Maker Tours AG,agenzie di viaggio,"Stampfenbachstrasse 144, 8006 Zürich, Switzerland",NOT AVAILABLE,044 215 30 80,http://www.holidaymaker.ch/,NOT AVAILABLE,https://maps.google.com/?cid=15909672950821685929
Vögele Reisen AG,agenzie di viaggio,"Baslerstrasse 60, 8048 Zürich, Switzerland",NOT AVAILABLE,043 960 86 10,http://www.voegele-reisen.ch/,NOT AVAILABLE,https://maps.google.com/?cid=8571585181680872605
S Travel GmbH,agenzie di viaggio,"Luisenstrasse 21, 8005 Zürich, Switzerland",NOT AVAILABLE,044 419 91 00,http://www.stravel.ch/,NOT AVAILABLE,https://maps.google.com/?cid=4163294017714514162
Agenzia Viaggi Preparate Le Valigie,agenzie di viaggio,"Via Filippo Turati, 61/63, 81100 Caserta CE, Italy",CE,0823 325022,http://www.preparatelevaligie.it/,maurizio@preparatelevaligie.itindirizzovia,https://maps.google.com/?cid=379486739059365827
