name,niche,address,state,phone_number,website,email,result_url
Efly AG Reisebüro,agenzie di viaggio,"Langstrasse 214, 8005 Zürich, Switzerland",NOT AVAILABLE,044 666 06 06,https://efly.ch/,info@efly.ch,https://maps.google.com/?cid=12177817622960096149
Best of Switzerland Tours AG,agenzie di viaggio,"Sihlquai Bus Station, Limmatstrasse 2, 8005 Zürich, Switzerland",NOT AVAILABLE,044 710 50 50,https://www.switzerland-tours.ch/,info@switzerland-tours.chgeneral,https://maps.google.com/?cid=4982182676850788474
Legends Travel GmbH,agenzie di viaggio,"Klosbachstrasse 45, 8032 Zürich, Switzerland",NOT AVAILABLE,044 250 44 77,http://www.legendstravel.ch/,info@legendstravel.ch,https://maps.google.com/?cid=1990250744098636060
Latin America Tours,agenzie di viaggio,"Kreuzpl. 1, 8032 Zürich, Switzerland",NOT AVAILABLE,044 515 24 24,https://www.latinamericatours.eu/,info@latinamericatours.eu,https://maps.google.com/?cid=9485982896825344144
travel worldwide travel agency AG,agenzie di viaggio,"Kirchgasse 22, 8001 Zürich, Switzerland",NOT AVAILABLE,043 500 61 00,http://www.travelworldwide.ch/,info@travelworldwide.ch,https://maps.google.com/?cid=8401522173412520107
airtours Travel Boutique,agenzie di viaggio,"Augustinergasse 17, 8001 Zürich, Switzerland",NOT AVAILABLE,044 267 50 50,https://www.tui.ch/de/reisebuero/zuerich/airtours-travel-boutique,2675050airtours@tui.chzurzeit,https://maps.google.com/?cid=17729046181358026796
Sky Travels GmbH,agenzie di viaggio,"Pflanzschulstrasse 99, 8004 Zürich, Switzerland",NOT AVAILABLE,043 311 90 02,http://www.skytravels.ch/,info@skytravels.ch,https://maps.google.com/?cid=7436148816361348914
Dorado Latin Tours,agenzie di viaggio,"Herostrasse 12, 8048 Zürich, Switzerland",NOT AVAILABLE,058 702 60 45,http://www.dorado-latintours.ch/,info@dorado-latintours.ch,https://maps.google.com/?cid=1569054786266738513
viajes,agenzie di viaggio,"Militärstrasse 87, 8004 Zürich, Switzerland",NOT AVAILABLE,044 241 24 41,http://viajes.ch/,info@viajes.ch,https://maps.google.com/?cid=8171814429812671640
Move by Australasia AG,agenzie di viaggio,"Schaffhauserstrasse 89, 8057 Zürich, Switzerland",NOT AVAILABLE,044 372 22 70,http://www.movereisen.ch/,travel@movereisen.ch,https://maps.google.com/?cid=5993485771728031318
Cosa Travel Ltd,agenzie di viaggio,"Utoquai 55, 8008 Zürich, Switzerland",NOT AVAILABLE,044 269 40 40,http://www.cosatravel.ch/,mail@cosatravel.ch,https://maps.google.com/?cid=1949100580215580255
Zürich Tourist Information,agenzie di viaggio,"Hauptbahnhof, 8001 Zürich, Switzerland",NOT AVAILABLE,044 215 40 00,https://www.zuerich.com/,NOT AVAILABLE,https://maps.google.com/?cid=6938327641016489089
Blue Moon Travel,agenzie di viaggio,"Josefstrasse 110, 8005 Zürich, Switzerland",NOT AVAILABLE,044 364 00 00,http://www.travelboerse.ch/,NOT AVAILABLE,https://maps.google.com/?cid=13898503082611344086
S Travel GmbH,agenzie di viaggio,"Luisenstrasse 21, 8005 Zürich, Switzerland",NOT AVAILABLE,044 419 91 00,http://www.stravel.ch/,NOT AVAILABLE,https://maps.google.com/?cid=4163294017714514162
Australasia & Africa Reisen AG,agenzie di viaggio,"Schaffhauserstrasse 89, 8057 Zürich, Switzerland",NOT AVAILABLE,044 450 73 75,http://www.australasia.ch/,NOT AVAILABLE,https://maps.google.com/?cid=9067365138810990273
Global Travel GmbH,agenzie di viaggio,"Hagenholzstrasse 81A, 8050 Zürich, Switzerland",NOT AVAILABLE,044 310 77 66,http://www.globaltravel.ch/,info@globaltravel.ch,https://maps.google.com/?cid=12180841896105338711
Smeraldo Tours AG,agenzie di viaggio,"Grindelstrasse 6, 8304 Wallisellen, Switzerland",NOT AVAILABLE,044 908 50 10,http://www.smeraldo-tours.ch/,NOT AVAILABLE,https://maps.google.com/?cid=16705907205705327412
PADI Travel,agenzie di viaggio,"Splügenstrasse 6, 8002 Zürich, Switzerland",NOT AVAILABLE,(786) 220-3482,https://travel.padi.com/,NOT AVAILABLE,https://maps.google.com/?cid=15136573524908884760
Albis Reisen,agenzie di viaggio,"Albisriederstrasse 334, 8047 Zürich, Switzerland",NOT AVAILABLE,044 406 10 10,https://yellow.local.ch/d/7iby6xbjlqB9NTclNiWlkg,NOT AVAILABLE,https://maps.google.com/?cid=5124443661845584217
AF Travel Agency /Brasil Reisen,agenzie di viaggio,"Brasil Reisen, St. Jakobstrasse 44, 8004 Zürich, Switzerland",NOT AVAILABLE,043 243 99 66,NOT AVAILABLE,NOT AVAILABLE,https://maps.google.com/?cid=6561169374675547320
Holiday Maker Tours AG,agenzie di viaggio,"Stampfenbachstrasse 144, 8006 Zürich, Switzerland",NOT AVAILABLE,044 215 30 80,http://www.holidaymaker.ch/,NOT AVAILABLE,https://maps.google.com/?cid=15909672950821685929
Vögele Reisen AG,agenzie di viaggio,"Baslerstrasse 60, 8048 Zürich, Switzerland",NOT AVAILABLE,043 960 86 10,http://www.voegele-reisen.ch/,NOT AVAILABLE,https://maps.google.com/?cid=8571585181680872605
Fibula Travel,agenzie di viaggio,"Schwamendingenstrasse 42, 8050 Zürich, Switzerland",NOT AVAILABLE,044 572 32 22,https://www.fibulatravel.ch/,02info@fibulatravel.ch,https://maps.google.com/?cid=2677566242864216988
Balkan Holidays (Switzerland) AG,agenzie di viaggio,"Beckenhofstrasse 72, 8006 Zürich, Switzerland",NOT AVAILABLE,044 362 80 70,https://balkan-holidays.ch/,NOT AVAILABLE,https://maps.google.com/?cid=1994598263185694858
BCD Travel - Zürich,agenzie di viaggio,"Thurgauerstrasse 39, 8050 Zürich, Switzerland",NOT AVAILABLE,044 529 24 00,https://www.bcdtravel.com/placemarks/switzerland/?utm_source=googlemaps&utm_medium=organic&utm_campaign=googlemaps&utm_content=zuerich,NOT AVAILABLE,https://maps.google.com/?cid=16697712073253818572
ltur Reisebüro Zürich,agenzie di viaggio,"Löwenstrasse 43, 8001 Zürich, Switzerland",NOT AVAILABLE,044 260 20 45,https://www.ltur.com/de/information/shopfinder/l/zurich/lowenstrasse-43/1151494,NOT AVAILABLE,https://maps.google.com/?cid=3956759143000842696
Willi Travel AG,agenzie di viaggio,"Wilstrasse 15, 8600 Dübendorf, Switzerland",NOT AVAILABLE,044 802 90 90,http://www.willitravel.ch/,NOT AVAILABLE,https://maps.google.com/?cid=8741521730895502571
Gray Line Zurich,agenzie di viaggio,"Jupiterstrasse 35, 8032 Zürich, Switzerland",NOT AVAILABLE,044 383 78 78,http://www.meiertours.ch/,meier@meiertours.ch,https://maps.google.com/?cid=2890851486038429582
Swiss Travel Bureau GmbH,agenzie di viaggio,"Stockerstrasse 38, 8002 Zürich, Switzerland",NOT AVAILABLE,NOT AVAILABLE,http://www.swiss-voyages.com/,NOT AVAILABLE,https://maps.google.com/?cid=18233674374811449852
STC Switzerland Travel Center AG,agenzie di viaggio,"Binzstrasse 38, 8045 Zürich, Switzerland",NOT AVAILABLE,043 210 55 00,https://switzerlandtravelcentre.com/de-ch,NOT AVAILABLE,https://maps.google.com/?cid=2829370654241128865
ACS Reisen AG,agenzie di viaggio,"Bahnhofstrasse 88, 8001 Zürich, Switzerland",NOT AVAILABLE,044 387 75 10,https://www.acs-travel.ch/,info@acs-travel.chnewsletter,https://maps.google.com/?cid=15595354719739435318
Prime - The Travelers' Service AG,agenzie di viaggio,"Seilergraben 55, 8001 Zürich, Switzerland",NOT AVAILABLE,044 260 64 64,https://www.primetravel.ch/,info@primetravel.ch,https://maps.google.com/?cid=12549586199835692316
Polo Reisen AG,agenzie di viaggio,"Regensdorferstrasse 3, 8049 Zürich, Switzerland",NOT AVAILABLE,044 341 94 00,https://yellow.local.ch/d/MoJziu0JVgeOr5xJL4M2Mg,NOT AVAILABLE,https://maps.google.com/?cid=6433472342199365115
ZSG-Schifffahrt,agenzie di viaggio,"Schiffsteg, Tram Bürklipl., 8001 Zürich, Switzerland",NOT AVAILABLE,044 487 13 33,https://www.zsg.ch/,33ahoi@zsg.ch,https://maps.google.com/?cid=13980935425944400037
"Fenice Viaggi - Agenzia Viaggi Stabio, Svizzera",agenzie di viaggio,"primo piano, Via Giulia 43, 6855 Stabio, Switzerland",NOT AVAILABLE,091 647 47 30,http://www.feniceviaggi.com/,info@feniceviaggi.com,https://maps.google.com/?cid=6995899652836090440
Allianz Travel Switzerland,agenzie di viaggio,"Richtipl. 1, 8304 Wallisellen, Switzerland",NOT AVAILABLE,044 283 32 22,http://www.allianz-travel.ch/,NOT AVAILABLE,https://maps.google.com/?cid=5010135187487562297
Swiss epic tours GmbH,agenzie di viaggio,"Flughofstrasse 47, 8153 Rümlang, Switzerland",NOT AVAILABLE,079 811 59 69,http://www.swissepictours.com/,NOT AVAILABLE,https://maps.google.com/?cid=12986201962836910269
Insight Reisen GmbH,agenzie di viaggio,"Fröhlichstrasse 42, 8008 Zürich, Switzerland",NOT AVAILABLE,044 280 62 62,http://www.insight-reisen.com/,NOT AVAILABLE,https://maps.google.com/?cid=16469482225813340469
