name,niche,address,state,phone_number,website,email,result_url
BEST VIAGGI Italia Incoming,agenzie di viaggio,"Viale del Popolo, 28\A, 45010 Rosolina RO, Italy",RO,0426 340489,http://www.best-viaggi.it/,info@best-viaggi.it,https://maps.google.com/?cid=15353172800634645944
Vivere e Viaggiare Roma Pittaluga-Bluvacanze,agenzie di viaggio,"Via Giovanni Pittaluga, 4, 00159 Roma RM, Italy",RM,06 4325 2797,https://www.vivereviaggiare.online/,NOT AVAILABLE,https://maps.google.com/?cid=5805290470767403350
Big Italy Viaggi e Turismo,agenzie di viaggio,"Via di Salone, 10, 00131 Roma RM, Italy",RM,06 8391 2259,http://www.bigitalyviaggieturismo.it/,NOT AVAILABLE,https://maps.google.com/?cid=1177232945248665182
Italy Viaggi,agenzie di viaggio,"Via Mercurio, 3, 71016 San Severo FG, Italy",FG,0882 199 1330,http://www.italyviaggi.com/,NOT AVAILABLE,https://maps.google.com/?cid=11478294740075066649
The Italian vacation - Cral Reunited Tour Operator,agenzie di viaggio,"Viale Palmiro Togliatti, 1565, 00155 Roma RM, Italy",RM,06 406 3045,https://www.lavacanzaitaliana.it/,cralriuniti.comroby@lavacanzaitaliana.it,https://maps.google.com/?cid=5302926668154483907
THE TRAVELS OF ADRIANO agency tour operator,agenzie di viaggio,"Via Abigaille Zanetta, 18, 00143 Roma RM, Italy",RM,06 5196 3729,http://www.iviaggidiadriano.it/,NOT AVAILABLE,https://maps.google.com/?cid=17172137103789933360
Italia 2000 - Welcome Travel,agenzie di viaggio,"Via della Stazione di Ciampino, 41, 00118 Roma RM, Italy",RM,06 7981 0031,https://www.italia2000travel.it/,NOT AVAILABLE,https://maps.google.com/?cid=7456955929108494958
Agenzia di Viaggi Flash Viaggi,agenzie di viaggio,"Via Appia Nuova, 276, 00183 Roma RM, Italy",RM,06 702 0415,https://flashviaggi.com/,NOT AVAILABLE,https://maps.google.com/?cid=12959371044232166374
Fly & Travel Valentina S.R.L,agenzie di viaggio,"Via Massa di San Giuliano, 411/413, 00132 Roma RM, Italy",RM,320 970 9476,https://flytravelvalentina.com/,info@flytravelvalentina.com,https://maps.google.com/?cid=7606759155838222592
Insieme Viaggi,agenzie di viaggio,"Via Marco Ulpio Traiano, 60, 20149 Milano MI, Italy",MI,02 3300 2117,https://www.agenziaviaggiltc.it/,NOT AVAILABLE,https://maps.google.com/?cid=7222857888581631518
Agenzia di Viaggi Il Racconto di Viaggi - Velletri -,agenzie di viaggio,"Via Guido Nati, 32/34, 00049 Velletri RM, Italy",RM,06 963 1878,http://www.ilraccontodiviaggi.it/,NOT AVAILABLE,https://maps.google.com/?cid=12494748515067928101
Agenzia Viaggi SingleUp,agenzie di viaggio,"Piazza Filattiera, 33, 00139 Roma RM, Italy",RM,06 9480 3505,https://www.singleupviaggi.com/,NOT AVAILABLE,https://maps.google.com/?cid=5214317779654522737
Viaggi Carmen,agenzie di viaggio,"Via Piemonte, 127, 04011 Aprilia LT, Italy",LT,06 928 2882,https://www.viaggicarmen.com/,info@viaggicarmen.com,https://maps.google.com/?cid=15487613863713006022
Italian Express Srl - Agenzia Viaggi,agenzie di viaggio,"Via Cassia, 8, 00191 Roma RM, Italy",RM,06 3322 0055,http://www.italianexpress.it/,info@italianexpress.it,https://maps.google.com/?cid=3094666668712333604
